job,company,salary,experience,education,address
Python Golang后端工程师,Gekko Artificial Intelligence Limited,16k-32k,经验3-5年,本科及以上,深圳 
python工程师,一点网聚科技有限公司,15k-30k,经验应届毕业生,本科及以上,北京 
Python开发工程师,微入（上海）商贸有限公司,10k-15k,经验1-3年,本科及以上,成都 
后端开发工程师Golang/Python,上海天壤智能科技有限公司,20k-40k,经验3-5年,本科及以上,上海 
python架构师,上海众言网络科技有限公司,30k-45k,经验5-10年,本科及以上,上海 
软件测试工程师（C++、java、p,北京捷通华声科技股份有限公司,15k-25k,经验1-3年,本科及以上,北京 
Python后端工程师,北京佳格天地科技有限公司,18k-23k,经验3-5年,本科及以上,北京 
python开发,深圳珍善科技有限公司,10k-20k,经验3-5年,本科及以上,深圳 
11217M-资深python开发（平,平安科技（深圳）有限公司,18k-30k,经验5-10年,本科及以上,深圳 
Python工程师（运维方向）,风变科技（深圳）有限公司,10k-20k,经验1-3年,本科及以上,深圳 
编程猫少儿编程教师（Python,深圳点猫科技有限公司,8k-15k,经验不限,本科及以上,深圳 
python开发,达内时代科技集团有限公司,8k-13k,经验不限,本科及以上,北京 
课程设计（python）,深圳点猫科技有限公司,9k-15k,经验1年以下,本科及以上,深圳 
Python开发经理,上海树融数据科技有限公司,25k-30k,经验3-5年,本科及以上,上海 
Python爬虫工程师,易居企业（中国）集团有限公司,10k-20k,经验3-5年,本科及以上,上海 
Python爬虫工程师,易居企业（中国）集团有限公司,10k-20k,经验3-5年,本科及以上,上海 
python开发工程师,西安贝业思数据智能技术服务有限公司,8k-16k,经验3-5年,本科及以上,广州 
python后台,武汉小果科技有限公司,9k-16k,经验应届毕业生,本科及以上,武汉 
Python 开发工程师（C端方向）,北京先云科技有限公司,12k-18k,经验3-5年,本科及以上,北京 
Python工程师,互道信息技术（上海）有限公司,13k-20k,经验3-5年,本科及以上,上海 
技术经理（python）,达而观信息科技（上海）有限公司,20k-26k,经验5-10年,本科及以上,成都 
Python高级讲师,北京优思安科技有限公司,20k-40k,经验3-5年,本科及以上,北京 
python后台开发,腾讯科技（深圳）有限公司,8k-12k,经验1-3年,大专及以上,深圳 
python后端,北京场域科技有限公司,10k-16k,经验3-5年,本科及以上,北京 
资深python开发工程师,上海众言网络科技有限公司,15k-30k,经验5-10年,本科及以上,苏州 
高级Python开发工程师,北京市商汤科技开发有限公司,18k-35k,经验不限,本科及以上,深圳 
Python高级工程师,深圳市前海房极客网络科技有限公司,10k-20k,经验3-5年,本科及以上,深圳 
python开发工程师,深圳市圆代码互联网有限公司,10k-20k,经验1-3年,硕士及以上,深圳 
python工程师,北京步峰信息技术有限公司,14k-24k,经验3-5年,本科及以上,北京 
Python后台开发工程师,深圳市和讯华谷信息技术有限公司,15k-25k,经验1-3年,本科及以上,深圳 
scratch/python教研老师,深圳腾语科技有限公司,10k-18k,经验1-3年,本科及以上,深圳 
Python开发工程师,苏州极光无限信息技术有限公司,10k-20k,经验3-5年,大专及以上,苏州 
